asset_id,asset_class,date,open,high,low,close,volume,time_gap,is_abnormal_gap_gt_1h,is_price_violation,is_duplicate_timestamp,has_missing
^NDX,index,2026-01-26 09:30:00,25631.01,25644.47,25578.76,25639.98,29104727.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-01-27 09:30:00,25847.81,25884.91,25834.7,25837.86,32477743.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-28 09:30:00,26121.74,26155.33,26109.88,26123.23,41901701.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-29 09:30:00,26030.08,26046.34,25959.91,25976.46,50902739.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-01-30 09:30:00,25740.19,25791.78,25709.48,25776.97,34165575.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-02 09:30:00,25491.64,25560.98,25478.5,25523.07,37752034.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-02-03 09:30:00,25811.05,25840.04,25730.28,25764.39,52282267.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-04 09:30:00,25247.6,25247.6,25125.3,25177.39,37669059.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-05 09:30:00,24614.86,24702.9,24549.76,24699.99,52958139.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-06 09:30:00,24655.25,24791.25,24622.33,24766.92,52796945.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-09 09:30:00,24953.68,24988.06,24876.28,24965.54,42291694.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-02-10 09:30:00,25314.23,25327.82,25271.49,25276.69,36974986.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-11 09:30:00,25335.91,25382.84,25292.2,25307.04,38437741.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-12 09:30:00,25261.33,25298.43,25250.65,25269.18,39237215.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-13 09:30:00,24684.38,24731.16,24633.41,24653.25,37333781.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-17 09:30:00,24582.11,24687.68,24548.43,24687.68,35108165.0,3 days 17:35:00,1,0,0,0
^NDX,index,2026-02-18 09:30:00,24744.87,24771.69,24700.86,24704.89,36019190.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-19 09:30:00,24771.65,24812.68,24765.12,24773.43,26381429.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-20 09:30:00,24637.32,24768.02,24633.59,24751.6,25745491.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-23 09:30:00,24935.51,24984.82,24916.88,24945.87,38490145.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-02-24 09:30:00,24760.42,24765.25,24660.44,24683.35,40688574.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-25 09:30:00,25137.72,25183.42,25137.62,25169.25,38606509.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-26 09:30:00,25278.25,25288.23,25212.9,25224.08,36985384.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-02-27 09:30:00,24808.0,24857.84,24763.65,24833.16,47876330.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-03-02 09:30:00,24599.41,24809.62,24575.54,24796.96,38531960.0,2 days 17:35:00,1,0,0,0
^NDX,index,2026-03-03 09:30:00,24497.38,24579.85,24494.7,24494.7,39505538.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-03-04 09:30:00,24850.94,24932.73,24846.69,24932.67,33648554.0,0 days 17:35:00,1,0,0,0
^NDX,index,2026-03-05 09:30:00,24992.73,25059.73,24977.84,25059.73,31418795.0,0 days 17:35:00,1,0,0,0
